LQTYPE,LQTYPEDesc,freq,period,sv,svDesc,figure,sd_value
1,Public rental housing,Y,2002,DH,No. ('000),629.5,
2,Subsidised home ownership housing,Y,2002,DH,No. ('000),355.3,
3,Private permanent housing,Y,2002,DH,No. ('000),1069.5,
4,Temporary housing,Y,2002,DH,No. ('000),26.2,
1,Public rental housing,Y,2003,DH,No. ('000),642.1,
2,Subsidised home ownership housing,Y,2003,DH,No. ('000),364.2,
3,Private permanent housing,Y,2003,DH,No. ('000),1085.8,
4,Temporary housing,Y,2003,DH,No. ('000),22.0,
1,Public rental housing,Y,2004,DH,No. ('000),644.5,
2,Subsidised home ownership housing,Y,2004,DH,No. ('000),362.5,
3,Private permanent housing,Y,2004,DH,No. ('000),1112.7,
4,Temporary housing,Y,2004,DH,No. ('000),20.8,
1,Public rental housing,Y,2005,DH,No. ('000),659.5,
2,Subsidised home ownership housing,Y,2005,DH,No. ('000),362.9,
3,Private permanent housing,Y,2005,DH,No. ('000),1154.0,
4,Temporary housing,Y,2005,DH,No. ('000),20.7,
1,Public rental housing,Y,2006,DH,No. ('000),674.6,
2,Subsidised home ownership housing,Y,2006,DH,No. ('000),362.8,
3,Private permanent housing,Y,2006,DH,No. ('000),1164.7,
4,Temporary housing,Y,2006,DH,No. ('000),18.7,
1,Public rental housing,Y,2007,DH,No. ('000),683.5,
2,Subsidised home ownership housing,Y,2007,DH,No. ('000),370.2,
3,Private permanent housing,Y,2007,DH,No. ('000),1178.1,
4,Temporary housing,Y,2007,DH,No. ('000),18.1,
1,Public rental housing,Y,2008,DH,No. ('000),679.9,
2,Subsidised home ownership housing,Y,2008,DH,No. ('000),377.2,
3,Private permanent housing,Y,2008,DH,No. ('000),1205.1,
4,Temporary housing,Y,2008,DH,No. ('000),16.9,
1,Public rental housing,Y,2009,DH,No. ('000),686.2,
2,Subsidised home ownership housing,Y,2009,DH,No. ('000),376.6,
3,Private permanent housing,Y,2009,DH,No. ('000),1215.7,
4,Temporary housing,Y,2009,DH,No. ('000),18.8,
1,Public rental housing,Y,2010,DH,No. ('000),699.6,
2,Subsidised home ownership housing,Y,2010,DH,No. ('000),379.2,
3,Private permanent housing,Y,2010,DH,No. ('000),1227.9,
4,Temporary housing,Y,2010,DH,No. ('000),18.3,
1,Public rental housing,Y,2011,DH,No. ('000),708.7,
2,Subsidised home ownership housing,Y,2011,DH,No. ('000),372.2,
3,Private permanent housing,Y,2011,DH,No. ('000),1259.7,
4,Temporary housing,Y,2011,DH,No. ('000),18.7,
1,Public rental housing,Y,2012,DH,No. ('000),729.1,
2,Subsidised home ownership housing,Y,2012,DH,No. ('000),373.0,
3,Private permanent housing,Y,2012,DH,No. ('000),1267.2,
4,Temporary housing,Y,2012,DH,No. ('000),16.9,
1,Public rental housing,Y,2013,DH,No. ('000),734.1,
2,Subsidised home ownership housing,Y,2013,DH,No. ('000),371.1,
3,Private permanent housing,Y,2013,DH,No. ('000),1286.4,
4,Temporary housing,Y,2013,DH,No. ('000),15.8,
1,Public rental housing,Y,2014,DH,No. ('000),741.2,
2,Subsidised home ownership housing,Y,2014,DH,No. ('000),375.1,
3,Private permanent housing,Y,2014,DH,No. ('000),1299.2,
4,Temporary housing,Y,2014,DH,No. ('000),16.9,
1,Public rental housing,Y,2015,DH,No. ('000),759.6,
2,Subsidised home ownership housing,Y,2015,DH,No. ('000),375.0,
3,Private permanent housing,Y,2015,DH,No. ('000),1321.5,
4,Temporary housing,Y,2015,DH,No. ('000),15.0,
1,Public rental housing,Y,2016,DH,No. ('000),764.4,
2,Subsidised home ownership housing,Y,2016,DH,No. ('000),374.0,
3,Private permanent housing,Y,2016,DH,No. ('000),1343.0,
4,Temporary housing,Y,2016,DH,No. ('000),17.6,
1,Public rental housing,Y,2017,DH,No. ('000),772.3,
2,Subsidised home ownership housing,Y,2017,DH,No. ('000),378.6,
3,Private permanent housing,Y,2017,DH,No. ('000),1360.0,
4,Temporary housing,Y,2017,DH,No. ('000),21.8,
1,Public rental housing,Y,2018,DH,No. ('000),781.1,
2,Subsidised home ownership housing,Y,2018,DH,No. ('000),383.8,
3,Private permanent housing,Y,2018,DH,No. ('000),1380.4,
4,Temporary housing,Y,2018,DH,No. ('000),19.0,
1,Public rental housing,Y,2019,DH,No. ('000),792.6,
2,Subsidised home ownership housing,Y,2019,DH,No. ('000),392.5,
3,Private permanent housing,Y,2019,DH,No. ('000),1403.2,
4,Temporary housing,Y,2019,DH,No. ('000),20.1,
1,Public rental housing,Y,2020,DH,No. ('000),797.6,
2,Subsidised home ownership housing,Y,2020,DH,No. ('000),398.2,
3,Private permanent housing,Y,2020,DH,No. ('000),1425.1,
4,Temporary housing,Y,2020,DH,No. ('000),20.3,
1,Public rental housing,Y,2021,DH,No. ('000),816.5,
2,Subsidised home ownership housing,Y,2021,DH,No. ('000),411.5,
3,Private permanent housing,Y,2021,DH,No. ('000),1425.5,
4,Temporary housing,Y,2021,DH,No. ('000),16.1,
1,Public rental housing,Y,2022,DH,No. ('000),819.1,
2,Subsidised home ownership housing,Y,2022,DH,No. ('000),416.3,
3,Private permanent housing,Y,2022,DH,No. ('000),1415.7,
4,Temporary housing,Y,2022,DH,No. ('000),19.9,
1,Public rental housing,Y,2023,DH,No. ('000),824.3,
2,Subsidised home ownership housing,Y,2023,DH,No. ('000),420.5,
3,Private permanent housing,Y,2023,DH,No. ('000),1430.5,
4,Temporary housing,Y,2023,DH,No. ('000),25.1,
1,Public rental housing,Y,2024,DH,No. ('000),829.8,
2,Subsidised home ownership housing,Y,2024,DH,No. ('000),425.0,
3,Private permanent housing,Y,2024,DH,No. ('000),1486.4,
4,Temporary housing,Y,2024,DH,No. ('000),21.9,
1,Public rental housing,Y,2025,DH,No. ('000),834.8,
2,Subsidised home ownership housing,Y,2025,DH,No. ('000),426.3,
3,Private permanent housing,Y,2025,DH,No. ('000),1489.9,
4,Temporary housing,Y,2025,DH,No. ('000),27.1,
