period,goods,expense,share
2004,Clothing and footwear,12030,4.5
2004,Durable goods,8361,3.1
2004,"Electricity, gas and water",17911,6.7
2004,Food,61559,23.0
2004,Housing,20684,7.7
2004,Miscellaneous goods,28607,10.7
2004,Miscellaneous services,84329,31.5
2004,Transport,34298,12.8
2009,Clothing and footwear,10269,4.1
2009,Durable goods,8823,3.5
2009,"Electricity, gas and water",20129,8.0
2009,Food,60272,24.0
2009,Housing,19069,7.6
2009,Miscellaneous goods,25928,10.3
2009,Miscellaneous services,71912,28.6
2009,Transport,35080,13.9
2014,Clothing and footwear,9074,3.6
2014,Durable goods,9402,3.8
2014,"Electricity, gas and water",18485,7.4
2014,Food,63482,25.4
2014,Housing,18356,7.4
2014,Miscellaneous goods,25772,10.3
2014,Miscellaneous services,69129,27.7
2014,Transport,36005,14.4
2019,Clothing and footwear,10572,4.2
2019,Durable goods,8448,3.3
2019,"Electricity, gas and water",18435,7.3
2019,Food,59258,23.4
2019,Housing,18402,7.3
2019,Miscellaneous goods,28396,11.2
2019,Miscellaneous services,77299,30.5
2019,Transport,32910,13.0
