period,goods,expense
2002,Accommodation services,6.2
2002,Alcoholic drinks and tobacco,52.2
2002,Clothing and footwear,127.0
2002,Durable goods,212.5
2002,Education,209.1
2002,Food,340.5
2002,Food and beverage serving services,465.6
2002,Health,163.5
2002,Housing,704.1
2002,Information and communication,248.5
2002,Insurance and financial services,89.7
2002,Miscellaneous services,169.0
2002,Non-assignable expenditure,26.0
2002,"Recreation, sport and culture",365.4
2002,Transport,618.6
2007,Accommodation services,33.0
2007,Alcoholic drinks and tobacco,46.5
2007,Clothing and footwear,143.1
2007,Durable goods,182.1
2007,Education,251.6
2007,Food,364.6
2007,Food and beverage serving services,591.7
2007,Health,211.4
2007,Housing,983.6
2007,Information and communication,280.7
2007,Insurance and financial services,110.6
2007,Miscellaneous services,197.0
2007,Non-assignable expenditure,25.6
2007,"Recreation, sport and culture",309.0
2007,Transport,701.9
2012,Accommodation services,39.5
2012,Alcoholic drinks and tobacco,53.4
2012,Clothing and footwear,155.6
2012,Durable goods,256.7
2012,Education,334.1
2012,Food,433.3
2012,Food and beverage serving services,764.1
2012,Health,253.0
2012,Housing,1473.6
2012,Information and communication,260.0
2012,Insurance and financial services,294.6
2012,Miscellaneous services,264.5
2012,Non-assignable expenditure,23.6
2012,"Recreation, sport and culture",352.7
2012,Transport,856.7
2017,Accommodation services,69.5
2017,Alcoholic drinks and tobacco,42.4
2017,Clothing and footwear,122.9
2017,Durable goods,277.5
2017,Education,374.0
2017,Food,394.0
2017,Food and beverage serving services,809.9
2017,Health,320.1
2017,Housing,1425.6
2017,Information and communication,276.4
2017,Insurance and financial services,381.8
2017,Miscellaneous services,264.4
2017,Non-assignable expenditure,23.4
2017,"Recreation, sport and culture",340.8
2017,Transport,1038.2
2022,Accommodation services,81.9
2022,Alcoholic drinks and tobacco,39.7
2022,Clothing and footwear,119.6
2022,Durable goods,384.6
2022,Education,404.2
2022,Food,455.9
2022,Food and beverage serving services,965.7
2022,Health,473.5
2022,Housing,1737.5
2022,Information and communication,270.2
2022,Insurance and financial services,590.0
2022,Miscellaneous services,285.3
2022,Non-assignable expenditure,24.6
2022,"Recreation, sport and culture",334.7
2022,Transport,951.2
